FlowID,Type,Src,Dst,FlowSize,FCT,Slowdown,Xput
673,0,24,27,4624,2172,1.00,100.00
981,0,21,43,24,1597,1.00,100.00
137,0,7,56,22704,5751,1.30,100.00
2009,0,1,24,4624,2172,1.00,100.00
5704,0,58,49,24,1597,1.00,100.00
5215,0,26,21,9336,2761,1.00,100.00
1255,0,58,49,4624,2172,1.00,100.00
1120,0,34,52,26352,6207,1.27,100.00
4055,0,4,10,77072,12547,1.12,100.00
3121,0,43,45,4624,2172,1.00,100.00
45,0,24,60,24,1597,1.00,100.00
670,0,47,19,24,1597,1.00,100.00
2446,0,36,48,29448,6594,1.25,100.00
3322,0,36,39,4624,2172,1.00,100.00
1817,0,41,60,4624,2172,1.00,100.00
3521,0,48,12,24,1597,1.00,100.00
3223,0,50,56,87784,13886,1.11,100.00
572,0,7,37,12488,3155,1.00,100.00
2037,0,36,14,4624,2172,1.00,100.00
3918,0,53,41,14136,3361,1.00,100.00
4739,0,57,40,24,1597,1.00,100.00
4558,0,60,13,4624,2172,1.00,100.00
107,0,33,3,4624,2172,1.00,100.00
2060,0,10,44,11880,3079,1.00,100.00
608,0,9,17,5912,2333,1.00,100.00
4370,0,33,57,24,1597,1.00,100.00
2535,0,30,45,6272,2378,1.00,100.00
2989,0,35,25,7384,2517,1.00,100.00
2984,0,17,63,4936,2211,1.00,100.00
1854,0,56,46,24,1597,1.00,100.00
547,0,34,62,205312,28577,1.05,100.00
2758,0,0,8,4624,2172,1.00,100.00
3411,0,20,37,4624,2172,1.00,100.00
1096,0,24,60,24,1597,1.00,100.00
6126,0,11,46,8912,2708,1.00,100.00
1216,0,6,9,24,1597,1.00,100.00
455,0,38,51,24,1597,1.00,100.00
4120,0,21,55,4624,2172,1.00,100.00
2720,0,35,10,4624,2172,1.00,100.00
42,0,42,50,24,1597,1.00,100.00
3216,0,47,56,24,1597,1.00,100.00
1228,0,19,46,24,1597,1.00,100.00
2491,0,3,15,24,1597,1.00,100.00
2293,0,57,40,9472,2778,1.00,100.00
633,0,14,20,24,1597,1.00,100.00
3745,0,39,23,13480,3279,1.00,100.00
5123,0,58,27,4624,2172,1.00,100.00
5153,0,56,53,44208,8439,1.19,100.00
5931,0,47,57,13864,3327,1.00,100.00
5595,0,16,23,4624,2172,1.00,100.00
5511,0,24,23,69304,11576,1.13,100.00
4966,0,18,41,7192,2493,1.00,100.00
399,0,19,1,24,1597,1.00,100.00
4541,0,10,31,138600,20238,1.07,100.00
3695,0,11,56,4624,2172,1.00,100.00
5872,0,31,55,43144,8306,1.19,100.00
1473,0,20,7,24,1597,1.00,100.00
5778,0,14,35,24,1597,1.00,100.00
241,0,33,11,4624,2172,1.00,100.00
3409,0,59,5,24,1597,1.00,100.00
2058,0,1,16,4624,2172,1.00,100.00
1899,0,62,12,24,1597,1.00,100.00
4477,0,22,1,4904,2207,1.00,100.00
1725,0,36
